accuracy,loss,val_accuracy,val_loss
0.7044060826301575,0.7497848272323608,0.7181909084320068,0.7135454416275024
0.7385669946670532,0.6567466855049133,0.679806113243103,0.7877956032752991
0.7445800304412842,0.6319603323936462,0.670111894607544,0.7877331972122192
0.7474373579025269,0.6157492995262146,0.7180839776992798,0.7101500630378723
0.7496157884597778,0.6061944961547852,0.7138427495956421,0.7052909731864929
0.7530177235603333,0.5998996496200562,0.7050039172172546,0.7497511506080627
0.7549424767494202,0.5921112895011902,0.7228241562843323,0.7054595351219177
0.7566359639167786,0.5872288346290588,0.7095658779144287,0.7228132486343384
0.7580459713935852,0.5825315713882446,0.7271366715431213,0.7032416462898254
0.7585532665252686,0.5789839029312134,0.7239289879798889,0.6891033053398132
0.759105384349823,0.5768393874168396,0.7143417000770569,0.739318311214447
0.7586055397987366,0.5730386972427368,0.726138710975647,0.7031418681144714
0.762678861618042,0.5688669681549072,0.7294532656669617,0.6997254490852356
0.7613434791564941,0.5678019523620605,0.7159811854362488,0.725308895111084
0.7620223760604858,0.5661234259605408,0.724962592124939,0.7137580513954163
